427	0	1911
427	4	2466
427	1	2404
1824	6	2314
2314	5	2466
1911	7	2466
2466	5	2404
386	3	2026
386	0	1911
386	4	2466
386	1	2419
2026	5	2466
1911	7	2466
2466	5	2419
428	2	1701
428	3	1973
428	0	1911
428	4	2466
428	1	2411
1701	6	1973
1973	5	2466
1911	7	2466
2466	5	2411
1399	2	1751
1399	0	1911
1399	4	2466
1911	7	2466
440	2	1615
440	3	2050
440	0	1911
440	4	2466
440	1	2411
1615	6	2050
2050	5	2466
1911	7	2466
2466	5	2411
660	2	1843
660	3	2283
660	0	1911
660	4	2466
1843	6	2283
2283	5	2466
1911	7	2466
383	2	1777
383	3	2324
383	0	1911
383	4	2466
383	1	2411
1777	6	2324
2324	5	2466
1911	7	2466
2466	5	2411
354	2	1873
354	0	1911
354	4	2466
1911	7	2466
363	2	1782
363	3	2033
363	0	1911
363	4	2466
